Day, Profit, AvgWaitAll, AvgWaitPrivilege, AvgWaitRegular
1, 5130, 190.67, 26.48, 336.90
2, 5400, 170.92, 12.80, 329.04
3, 5910, 218.42, 63.71, 393.57
4, 5460, 205.54, 43.65, 372.95
5, 6210, 256.57, 54.46, 459.66
6, 5820, 215.92, 42.43, 405.01
7, 5700, 165.68, 26.15, 326.36
8, 5490, 200.42, 37.76, 370.51
9, 5850, 164.78, 21.44, 315.06
10, 5250, 189.44, 26.66, 334.04
11, 5340, 178.27, 19.79, 338.55
12, 5580, 185.68, 11.10, 358.41
13, 5250, 164.21, 13.52, 307.52
14, 4860, 154.82, 16.36, 264.23
15, 5670, 152.27, 8.54, 308.39
16, 5730, 220.26, 25.40, 402.69
17, 4920, 184.38, 12.82, 322.98
18, 5400, 193.48, 16.93, 383.77
19, 5820, 209.32, 23.33, 403.31
20, 5490, 195.19, 15.45, 357.22
21, 5790, 187.79, 22.72, 373.01
22, 5010, 203.08, 18.11, 374.69
23, 5880, 187.00, 60.12, 321.41
24, 6090, 187.09, 23.36, 352.46
25, 5430, 202.80, 19.63, 382.02
26, 5310, 128.77, 9.98, 244.94
27, 5340, 191.67, 19.89, 352.60
28, 5700, 182.46, 16.00, 349.79
29, 5490, 172.18, 18.64, 322.43
30, 5100, 164.24, 20.42, 306.38
31, 4890, 182.65, 13.13, 343.30
32, 5910, 210.48, 32.99, 411.44
33, 5580, 189.36, 11.34, 360.04
34, 5430, 201.91, 30.70, 353.82
35, 5550, 184.02, 13.97, 345.34
36, 5370, 207.82, 38.03, 375.74
37, 5280, 159.78, 16.15, 315.82
38, 5130, 168.62, 11.14, 319.90
39, 5310, 180.85, 28.51, 342.31
40, 5970, 145.79, 10.45, 309.01
41, 5580, 201.98, 21.73, 382.24
42, 5790, 195.98, 14.64, 373.63
43, 5640, 161.94, 14.42, 335.28
44, 4980, 184.57, 14.27, 334.93
45, 5370, 173.13, 19.77, 336.52
46, 5760, 193.11, 32.19, 349.16
47, 4890, 206.95, 23.80, 356.21
48, 5640, 209.94, 42.45, 370.59
49, 4590, 154.99, 10.65, 279.05
50, 5610, 193.44, 29.64, 361.74
51, 5010, 167.16, 14.38, 305.82
52, 4890, 150.45, 9.15, 277.70
53, 5520, 222.63, 22.32, 418.68
54, 5100, 148.42, 16.42, 278.88
55, 6120, 207.92, 38.10, 392.19
56, 5370, 166.91, 18.19, 323.51
57, 4890, 124.09, 7.40, 235.97
58, 5880, 196.01, 33.97, 386.18
59, 5640, 207.49, 36.39, 403.64
60, 5160, 110.23, 9.03, 214.46
61, 5850, 207.68, 34.26, 404.29
62, 4710, 173.50, 19.29, 309.51
63, 5190, 176.92, 16.53, 319.22
64, 4770, 144.63, 14.05, 272.01
65, 4530, 159.19, 11.21, 276.17
66, 6270, 191.87, 21.87, 397.25
67, 4560, 124.48, 6.56, 231.81
68, 4800, 201.00, 23.09, 358.27
69, 4440, 136.15, 9.72, 246.22
70, 5130, 132.69, 27.55, 228.83
71, 6360, 235.44, 57.90, 436.71
72, 6030, 208.16, 40.41, 403.06
73, 5100, 117.61, 7.82, 228.70
74, 5490, 160.24, 8.73, 310.93
75, 5580, 179.09, 16.24, 352.17
76, 6030, 259.85, 53.03, 471.95
77, 5490, 160.38, 18.52, 322.65
78, 5910, 170.52, 15.28, 341.36
79, 5430, 157.46, 17.79, 302.74
80, 4860, 143.99, 12.08, 268.23
81, 4770, 122.43, 6.18, 228.05
82, 5790, 196.60, 36.34, 385.19
83, 4440, 103.35, 12.50, 185.34
